rate_date,from_currency_code,to_currency_code,exchange_rate,rate_source
2024-08-30,EUR,PLN,4.3555,ECB_REFERENCE
2024-08-30,EUR,RON,4.9782,ECB_REFERENCE
2024-08-30,EUR,EUR,1.0,ECB_REFERENCE
2024-08-31,EUR,PLN,4.3299,ECB_REFERENCE
2024-08-31,EUR,RON,4.9724,ECB_REFERENCE
2024-08-31,EUR,EUR,1.0,ECB_REFERENCE
2024-09-01,EUR,PLN,4.3324,ECB_REFERENCE
2024-09-01,EUR,RON,4.9826,ECB_REFERENCE
2024-09-01,EUR,EUR,1.0,ECB_REFERENCE
2024-09-02,EUR,PLN,4.3431,ECB_REFERENCE
2024-09-02,EUR,RON,4.9964,ECB_REFERENCE
2024-09-02,EUR,EUR,1.0,ECB_REFERENCE
2024-09-03,EUR,PLN,4.3378,ECB_REFERENCE
2024-09-03,EUR,RON,4.9884,ECB_REFERENCE
2024-09-03,EUR,EUR,1.0,ECB_REFERENCE
2024-09-04,EUR,PLN,4.3509,ECB_REFERENCE
2024-09-04,EUR,RON,4.985,ECB_REFERENCE
2024-09-04,EUR,EUR,1.0,ECB_REFERENCE
2024-09-05,EUR,PLN,4.3314,ECB_REFERENCE
2024-09-05,EUR,RON,4.9652,ECB_REFERENCE
2024-09-05,EUR,EUR,1.0,ECB_REFERENCE
2024-09-06,EUR,PLN,4.3175,ECB_REFERENCE
2024-09-06,EUR,RON,4.9739,ECB_REFERENCE
2024-09-06,EUR,EUR,1.0,ECB_REFERENCE
2024-09-07,EUR,PLN,4.3197,ECB_REFERENCE
2024-09-07,EUR,RON,4.9859,ECB_REFERENCE
2024-09-07,EUR,EUR,1.0,ECB_REFERENCE
2024-09-08,EUR,PLN,4.3132,ECB_REFERENCE
2024-09-08,EUR,RON,4.9887,ECB_REFERENCE
2024-09-08,EUR,EUR,1.0,ECB_REFERENCE
2024-09-09,EUR,PLN,4.3226,ECB_REFERENCE
2024-09-09,EUR,RON,4.9833,ECB_REFERENCE
2024-09-09,EUR,EUR,1.0,ECB_REFERENCE
2024-09-10,EUR,PLN,4.3296,ECB_REFERENCE
2024-09-10,EUR,RON,4.9717,ECB_REFERENCE
2024-09-10,EUR,EUR,1.0,ECB_REFERENCE
2024-09-11,EUR,PLN,4.324,ECB_REFERENCE
2024-09-11,EUR,RON,4.9651,ECB_REFERENCE
2024-09-11,EUR,EUR,1.0,ECB_REFERENCE
2024-09-12,EUR,PLN,4.306,ECB_REFERENCE
2024-09-12,EUR,RON,4.9735,ECB_REFERENCE
2024-09-12,EUR,EUR,1.0,ECB_REFERENCE
2024-09-13,EUR,PLN,4.2989,ECB_REFERENCE
2024-09-13,EUR,RON,4.9738,ECB_REFERENCE
2024-09-13,EUR,EUR,1.0,ECB_REFERENCE
2024-09-14,EUR,PLN,4.3061,ECB_REFERENCE
2024-09-14,EUR,RON,4.9815,ECB_REFERENCE
2024-09-14,EUR,EUR,1.0,ECB_REFERENCE
2024-09-15,EUR,PLN,4.3161,ECB_REFERENCE
2024-09-15,EUR,RON,4.9798,ECB_REFERENCE
2024-09-15,EUR,EUR,1.0,ECB_REFERENCE
2024-09-16,EUR,PLN,4.3097,ECB_REFERENCE
2024-09-16,EUR,RON,4.9784,ECB_REFERENCE
2024-09-16,EUR,EUR,1.0,ECB_REFERENCE
2024-09-17,EUR,PLN,4.2843,ECB_REFERENCE
2024-09-17,EUR,RON,4.9532,ECB_REFERENCE
2024-09-17,EUR,EUR,1.0,ECB_REFERENCE
2024-09-18,EUR,PLN,4.2645,ECB_REFERENCE
2024-09-18,EUR,RON,4.9359,ECB_REFERENCE
2024-09-18,EUR,EUR,1.0,ECB_REFERENCE
2024-09-19,EUR,PLN,4.2704,ECB_REFERENCE
2024-09-19,EUR,RON,4.9203,ECB_REFERENCE
2024-09-19,EUR,EUR,1.0,ECB_REFERENCE
2024-09-20,EUR,PLN,4.2648,ECB_REFERENCE
2024-09-20,EUR,RON,4.9427,ECB_REFERENCE
2024-09-20,EUR,EUR,1.0,ECB_REFERENCE
2024-09-21,EUR,PLN,4.2595,ECB_REFERENCE
2024-09-21,EUR,RON,4.9554,ECB_REFERENCE
2024-09-21,EUR,EUR,1.0,ECB_REFERENCE
2024-09-22,EUR,PLN,4.2455,ECB_REFERENCE
2024-09-22,EUR,RON,4.9518,ECB_REFERENCE
2024-09-22,EUR,EUR,1.0,ECB_REFERENCE
2024-09-23,EUR,PLN,4.2314,ECB_REFERENCE
2024-09-23,EUR,RON,4.946,ECB_REFERENCE
2024-09-23,EUR,EUR,1.0,ECB_REFERENCE
2024-09-24,EUR,PLN,4.2439,ECB_REFERENCE
2024-09-24,EUR,RON,4.9161,ECB_REFERENCE
2024-09-24,EUR,EUR,1.0,ECB_REFERENCE
2024-09-25,EUR,PLN,4.2503,ECB_REFERENCE
2024-09-25,EUR,RON,4.9202,ECB_REFERENCE
2024-09-25,EUR,EUR,1.0,ECB_REFERENCE
2024-09-26,EUR,PLN,4.2415,ECB_REFERENCE
2024-09-26,EUR,RON,4.8953,ECB_REFERENCE
2024-09-26,EUR,EUR,1.0,ECB_REFERENCE
2024-09-27,EUR,PLN,4.2425,ECB_REFERENCE
2024-09-27,EUR,RON,4.8862,ECB_REFERENCE
2024-09-27,EUR,EUR,1.0,ECB_REFERENCE
2024-09-28,EUR,PLN,4.246,ECB_REFERENCE
2024-09-28,EUR,RON,4.8866,ECB_REFERENCE
2024-09-28,EUR,EUR,1.0,ECB_REFERENCE
2024-09-29,EUR,PLN,4.2698,ECB_REFERENCE
2024-09-29,EUR,RON,4.8825,ECB_REFERENCE
2024-09-29,EUR,EUR,1.0,ECB_REFERENCE
2024-09-30,EUR,PLN,4.2545,ECB_REFERENCE
2024-09-30,EUR,RON,4.8855,ECB_REFERENCE
2024-09-30,EUR,EUR,1.0,ECB_REFERENCE
2024-10-01,EUR,PLN,4.2578,ECB_REFERENCE
2024-10-01,EUR,RON,4.9088,ECB_REFERENCE
2024-10-01,EUR,EUR,1.0,ECB_REFERENCE
2024-10-02,EUR,PLN,4.2702,ECB_REFERENCE
2024-10-02,EUR,RON,4.9149,ECB_REFERENCE
2024-10-02,EUR,EUR,1.0,ECB_REFERENCE
2024-10-03,EUR,PLN,4.2921,ECB_REFERENCE
2024-10-03,EUR,RON,4.8945,ECB_REFERENCE
2024-10-03,EUR,EUR,1.0,ECB_REFERENCE
2024-10-04,EUR,PLN,4.2825,ECB_REFERENCE
2024-10-04,EUR,RON,4.8786,ECB_REFERENCE
2024-10-04,EUR,EUR,1.0,ECB_REFERENCE
2024-10-05,EUR,PLN,4.2767,ECB_REFERENCE
2024-10-05,EUR,RON,4.8551,ECB_REFERENCE
2024-10-05,EUR,EUR,1.0,ECB_REFERENCE
2024-10-06,EUR,PLN,4.2862,ECB_REFERENCE
2024-10-06,EUR,RON,4.8513,ECB_REFERENCE
2024-10-06,EUR,EUR,1.0,ECB_REFERENCE
2024-10-07,EUR,PLN,4.2641,ECB_REFERENCE
2024-10-07,EUR,RON,4.8341,ECB_REFERENCE
2024-10-07,EUR,EUR,1.0,ECB_REFERENCE
2024-10-08,EUR,PLN,4.2688,ECB_REFERENCE
2024-10-08,EUR,RON,4.8482,ECB_REFERENCE
2024-10-08,EUR,EUR,1.0,ECB_REFERENCE
2024-10-09,EUR,PLN,4.2986,ECB_REFERENCE
2024-10-09,EUR,RON,4.8977,ECB_REFERENCE
2024-10-09,EUR,EUR,1.0,ECB_REFERENCE
2024-10-10,EUR,PLN,4.3048,ECB_REFERENCE
2024-10-10,EUR,RON,4.8807,ECB_REFERENCE
2024-10-10,EUR,EUR,1.0,ECB_REFERENCE
2024-10-11,EUR,PLN,4.2727,ECB_REFERENCE
2024-10-11,EUR,RON,4.8853,ECB_REFERENCE
2024-10-11,EUR,EUR,1.0,ECB_REFERENCE
2024-10-12,EUR,PLN,4.2606,ECB_REFERENCE
2024-10-12,EUR,RON,4.8782,ECB_REFERENCE
2024-10-12,EUR,EUR,1.0,ECB_REFERENCE
2024-10-13,EUR,PLN,4.2514,ECB_REFERENCE
2024-10-13,EUR,RON,4.8758,ECB_REFERENCE
2024-10-13,EUR,EUR,1.0,ECB_REFERENCE
2024-10-14,EUR,PLN,4.2673,ECB_REFERENCE
2024-10-14,EUR,RON,4.8785,ECB_REFERENCE
2024-10-14,EUR,EUR,1.0,ECB_REFERENCE
2024-10-15,EUR,PLN,4.2649,ECB_REFERENCE
2024-10-15,EUR,RON,4.8608,ECB_REFERENCE
2024-10-15,EUR,EUR,1.0,ECB_REFERENCE
2024-10-16,EUR,PLN,4.2399,ECB_REFERENCE
2024-10-16,EUR,RON,4.8525,ECB_REFERENCE
2024-10-16,EUR,EUR,1.0,ECB_REFERENCE
2024-10-17,EUR,PLN,4.2391,ECB_REFERENCE
2024-10-17,EUR,RON,4.8825,ECB_REFERENCE
2024-10-17,EUR,EUR,1.0,ECB_REFERENCE
2024-10-18,EUR,PLN,4.2411,ECB_REFERENCE
2024-10-18,EUR,RON,4.8993,ECB_REFERENCE
2024-10-18,EUR,EUR,1.0,ECB_REFERENCE
2024-10-19,EUR,PLN,4.2336,ECB_REFERENCE
2024-10-19,EUR,RON,4.879,ECB_REFERENCE
2024-10-19,EUR,EUR,1.0,ECB_REFERENCE
2024-10-20,EUR,PLN,4.2193,ECB_REFERENCE
2024-10-20,EUR,RON,4.8666,ECB_REFERENCE
2024-10-20,EUR,EUR,1.0,ECB_REFERENCE
2024-10-21,EUR,PLN,4.2508,ECB_REFERENCE
2024-10-21,EUR,RON,4.8526,ECB_REFERENCE
2024-10-21,EUR,EUR,1.0,ECB_REFERENCE
2024-10-22,EUR,PLN,4.2633,ECB_REFERENCE
2024-10-22,EUR,RON,4.8373,ECB_REFERENCE
2024-10-22,EUR,EUR,1.0,ECB_REFERENCE
2024-10-23,EUR,PLN,4.2772,ECB_REFERENCE
2024-10-23,EUR,RON,4.8438,ECB_REFERENCE
2024-10-23,EUR,EUR,1.0,ECB_REFERENCE
2024-10-24,EUR,PLN,4.2748,ECB_REFERENCE
2024-10-24,EUR,RON,4.8431,ECB_REFERENCE
2024-10-24,EUR,EUR,1.0,ECB_REFERENCE
2024-10-25,EUR,PLN,4.265,ECB_REFERENCE
2024-10-25,EUR,RON,4.8507,ECB_REFERENCE
2024-10-25,EUR,EUR,1.0,ECB_REFERENCE
2024-10-26,EUR,PLN,4.2582,ECB_REFERENCE
2024-10-26,EUR,RON,4.8299,ECB_REFERENCE
2024-10-26,EUR,EUR,1.0,ECB_REFERENCE
2024-10-27,EUR,PLN,4.2392,ECB_REFERENCE
2024-10-27,EUR,RON,4.8328,ECB_REFERENCE
2024-10-27,EUR,EUR,1.0,ECB_REFERENCE
2024-10-28,EUR,PLN,4.2626,ECB_REFERENCE
2024-10-28,EUR,RON,4.8355,ECB_REFERENCE
2024-10-28,EUR,EUR,1.0,ECB_REFERENCE
2024-10-29,EUR,PLN,4.2608,ECB_REFERENCE
2024-10-29,EUR,RON,4.8403,ECB_REFERENCE
2024-10-29,EUR,EUR,1.0,ECB_REFERENCE
2024-10-30,EUR,PLN,4.2803,ECB_REFERENCE
2024-10-30,EUR,RON,4.8441,ECB_REFERENCE
2024-10-30,EUR,EUR,1.0,ECB_REFERENCE
2024-10-31,EUR,PLN,4.2742,ECB_REFERENCE
2024-10-31,EUR,RON,4.8628,ECB_REFERENCE
2024-10-31,EUR,EUR,1.0,ECB_REFERENCE
2024-11-01,EUR,PLN,4.2806,ECB_REFERENCE
2024-11-01,EUR,RON,4.889,ECB_REFERENCE
2024-11-01,EUR,EUR,1.0,ECB_REFERENCE
2024-11-02,EUR,PLN,4.2833,ECB_REFERENCE
2024-11-02,EUR,RON,4.868,ECB_REFERENCE
2024-11-02,EUR,EUR,1.0,ECB_REFERENCE
2024-11-03,EUR,PLN,4.2628,ECB_REFERENCE
2024-11-03,EUR,RON,4.8961,ECB_REFERENCE
2024-11-03,EUR,EUR,1.0,ECB_REFERENCE
2024-11-04,EUR,PLN,4.2885,ECB_REFERENCE
2024-11-04,EUR,RON,4.8931,ECB_REFERENCE
2024-11-04,EUR,EUR,1.0,ECB_REFERENCE
2024-11-05,EUR,PLN,4.2828,ECB_REFERENCE
2024-11-05,EUR,RON,4.9181,ECB_REFERENCE
2024-11-05,EUR,EUR,1.0,ECB_REFERENCE
2024-11-06,EUR,PLN,4.2662,ECB_REFERENCE
2024-11-06,EUR,RON,4.9027,ECB_REFERENCE
2024-11-06,EUR,EUR,1.0,ECB_REFERENCE
2024-11-07,EUR,PLN,4.2758,ECB_REFERENCE
2024-11-07,EUR,RON,4.8959,ECB_REFERENCE
2024-11-07,EUR,EUR,1.0,ECB_REFERENCE
2024-11-08,EUR,PLN,4.2757,ECB_REFERENCE
2024-11-08,EUR,RON,4.8931,ECB_REFERENCE
2024-11-08,EUR,EUR,1.0,ECB_REFERENCE
2024-11-09,EUR,PLN,4.2808,ECB_REFERENCE
2024-11-09,EUR,RON,4.9172,ECB_REFERENCE
2024-11-09,EUR,EUR,1.0,ECB_REFERENCE
2024-11-10,EUR,PLN,4.2821,ECB_REFERENCE
2024-11-10,EUR,RON,4.9283,ECB_REFERENCE
2024-11-10,EUR,EUR,1.0,ECB_REFERENCE
2024-11-11,EUR,PLN,4.2514,ECB_REFERENCE
2024-11-11,EUR,RON,4.9275,ECB_REFERENCE
2024-11-11,EUR,EUR,1.0,ECB_REFERENCE
2024-11-12,EUR,PLN,4.2388,ECB_REFERENCE
2024-11-12,EUR,RON,4.9064,ECB_REFERENCE
2024-11-12,EUR,EUR,1.0,ECB_REFERENCE
2024-11-13,EUR,PLN,4.2258,ECB_REFERENCE
2024-11-13,EUR,RON,4.9007,ECB_REFERENCE
2024-11-13,EUR,EUR,1.0,ECB_REFERENCE
2024-11-14,EUR,PLN,4.2394,ECB_REFERENCE
2024-11-14,EUR,RON,4.8779,ECB_REFERENCE
2024-11-14,EUR,EUR,1.0,ECB_REFERENCE
2024-11-15,EUR,PLN,4.2398,ECB_REFERENCE
2024-11-15,EUR,RON,4.8697,ECB_REFERENCE
2024-11-15,EUR,EUR,1.0,ECB_REFERENCE
2024-11-16,EUR,PLN,4.2349,ECB_REFERENCE
2024-11-16,EUR,RON,4.8868,ECB_REFERENCE
2024-11-16,EUR,EUR,1.0,ECB_REFERENCE
2024-11-17,EUR,PLN,4.2429,ECB_REFERENCE
2024-11-17,EUR,RON,4.9096,ECB_REFERENCE
2024-11-17,EUR,EUR,1.0,ECB_REFERENCE
2024-11-18,EUR,PLN,4.2406,ECB_REFERENCE
2024-11-18,EUR,RON,4.8977,ECB_REFERENCE
2024-11-18,EUR,EUR,1.0,ECB_REFERENCE
2024-11-19,EUR,PLN,4.2373,ECB_REFERENCE
2024-11-19,EUR,RON,4.9018,ECB_REFERENCE
2024-11-19,EUR,EUR,1.0,ECB_REFERENCE
2024-11-20,EUR,PLN,4.2399,ECB_REFERENCE
2024-11-20,EUR,RON,4.8832,ECB_REFERENCE
2024-11-20,EUR,EUR,1.0,ECB_REFERENCE
2024-11-21,EUR,PLN,4.2413,ECB_REFERENCE
2024-11-21,EUR,RON,4.8871,ECB_REFERENCE
2024-11-21,EUR,EUR,1.0,ECB_REFERENCE
2024-11-22,EUR,PLN,4.2786,ECB_REFERENCE
2024-11-22,EUR,RON,4.9192,ECB_REFERENCE
2024-11-22,EUR,EUR,1.0,ECB_REFERENCE
2024-11-23,EUR,PLN,4.2659,ECB_REFERENCE
2024-11-23,EUR,RON,4.9143,ECB_REFERENCE
2024-11-23,EUR,EUR,1.0,ECB_REFERENCE
2024-11-24,EUR,PLN,4.244,ECB_REFERENCE
2024-11-24,EUR,RON,4.9041,ECB_REFERENCE
2024-11-24,EUR,EUR,1.0,ECB_REFERENCE
2024-11-25,EUR,PLN,4.2487,ECB_REFERENCE
2024-11-25,EUR,RON,4.9248,ECB_REFERENCE
2024-11-25,EUR,EUR,1.0,ECB_REFERENCE
2024-11-26,EUR,PLN,4.2379,ECB_REFERENCE
2024-11-26,EUR,RON,4.9136,ECB_REFERENCE
2024-11-26,EUR,EUR,1.0,ECB_REFERENCE
2024-11-27,EUR,PLN,4.206,ECB_REFERENCE
2024-11-27,EUR,RON,4.9108,ECB_REFERENCE
2024-11-27,EUR,EUR,1.0,ECB_REFERENCE
2024-11-28,EUR,PLN,4.1904,ECB_REFERENCE
2024-11-28,EUR,RON,4.9017,ECB_REFERENCE
2024-11-28,EUR,EUR,1.0,ECB_REFERENCE
2024-11-29,EUR,PLN,4.1775,ECB_REFERENCE
2024-11-29,EUR,RON,4.9,ECB_REFERENCE
2024-11-29,EUR,EUR,1.0,ECB_REFERENCE
2024-11-30,EUR,PLN,4.1518,ECB_REFERENCE
2024-11-30,EUR,RON,4.8749,ECB_REFERENCE
2024-11-30,EUR,EUR,1.0,ECB_REFERENCE
2024-12-01,EUR,PLN,4.1828,ECB_REFERENCE
2024-12-01,EUR,RON,4.8529,ECB_REFERENCE
2024-12-01,EUR,EUR,1.0,ECB_REFERENCE
2024-12-02,EUR,PLN,4.1667,ECB_REFERENCE
2024-12-02,EUR,RON,4.8841,ECB_REFERENCE
2024-12-02,EUR,EUR,1.0,ECB_REFERENCE
2024-12-03,EUR,PLN,4.2091,ECB_REFERENCE
2024-12-03,EUR,RON,4.8641,ECB_REFERENCE
2024-12-03,EUR,EUR,1.0,ECB_REFERENCE
2024-12-04,EUR,PLN,4.2036,ECB_REFERENCE
2024-12-04,EUR,RON,4.8699,ECB_REFERENCE
2024-12-04,EUR,EUR,1.0,ECB_REFERENCE
2024-12-05,EUR,PLN,4.2291,ECB_REFERENCE
2024-12-05,EUR,RON,4.8531,ECB_REFERENCE
2024-12-05,EUR,EUR,1.0,ECB_REFERENCE
2024-12-06,EUR,PLN,4.2254,ECB_REFERENCE
2024-12-06,EUR,RON,4.8663,ECB_REFERENCE
2024-12-06,EUR,EUR,1.0,ECB_REFERENCE
2024-12-07,EUR,PLN,4.2319,ECB_REFERENCE
2024-12-07,EUR,RON,4.8599,ECB_REFERENCE
2024-12-07,EUR,EUR,1.0,ECB_REFERENCE
2024-12-08,EUR,PLN,4.2299,ECB_REFERENCE
2024-12-08,EUR,RON,4.8365,ECB_REFERENCE
2024-12-08,EUR,EUR,1.0,ECB_REFERENCE
2024-12-09,EUR,PLN,4.2264,ECB_REFERENCE
2024-12-09,EUR,RON,4.832,ECB_REFERENCE
2024-12-09,EUR,EUR,1.0,ECB_REFERENCE
2024-12-10,EUR,PLN,4.2298,ECB_REFERENCE
2024-12-10,EUR,RON,4.8226,ECB_REFERENCE
2024-12-10,EUR,EUR,1.0,ECB_REFERENCE
2024-12-11,EUR,PLN,4.2368,ECB_REFERENCE
2024-12-11,EUR,RON,4.8397,ECB_REFERENCE
2024-12-11,EUR,EUR,1.0,ECB_REFERENCE
2024-12-12,EUR,PLN,4.2391,ECB_REFERENCE
2024-12-12,EUR,RON,4.8456,ECB_REFERENCE
2024-12-12,EUR,EUR,1.0,ECB_REFERENCE
2024-12-13,EUR,PLN,4.2399,ECB_REFERENCE
2024-12-13,EUR,RON,4.8456,ECB_REFERENCE
2024-12-13,EUR,EUR,1.0,ECB_REFERENCE
2024-12-14,EUR,PLN,4.2292,ECB_REFERENCE
2024-12-14,EUR,RON,4.851,ECB_REFERENCE
2024-12-14,EUR,EUR,1.0,ECB_REFERENCE
2024-12-15,EUR,PLN,4.2277,ECB_REFERENCE
2024-12-15,EUR,RON,4.8866,ECB_REFERENCE
2024-12-15,EUR,EUR,1.0,ECB_REFERENCE
2024-12-16,EUR,PLN,4.251,ECB_REFERENCE
2024-12-16,EUR,RON,4.8932,ECB_REFERENCE
2024-12-16,EUR,EUR,1.0,ECB_REFERENCE
2024-12-17,EUR,PLN,4.2396,ECB_REFERENCE
2024-12-17,EUR,RON,4.8741,ECB_REFERENCE
2024-12-17,EUR,EUR,1.0,ECB_REFERENCE
2024-12-18,EUR,PLN,4.2573,ECB_REFERENCE
2024-12-18,EUR,RON,4.8786,ECB_REFERENCE
2024-12-18,EUR,EUR,1.0,ECB_REFERENCE
2024-12-19,EUR,PLN,4.2645,ECB_REFERENCE
2024-12-19,EUR,RON,4.8488,ECB_REFERENCE
2024-12-19,EUR,EUR,1.0,ECB_REFERENCE
2024-12-20,EUR,PLN,4.2783,ECB_REFERENCE
2024-12-20,EUR,RON,4.8565,ECB_REFERENCE
2024-12-20,EUR,EUR,1.0,ECB_REFERENCE
2024-12-21,EUR,PLN,4.2617,ECB_REFERENCE
2024-12-21,EUR,RON,4.8485,ECB_REFERENCE
2024-12-21,EUR,EUR,1.0,ECB_REFERENCE
2024-12-22,EUR,PLN,4.2656,ECB_REFERENCE
2024-12-22,EUR,RON,4.8494,ECB_REFERENCE
2024-12-22,EUR,EUR,1.0,ECB_REFERENCE
2024-12-23,EUR,PLN,4.2613,ECB_REFERENCE
2024-12-23,EUR,RON,4.8476,ECB_REFERENCE
2024-12-23,EUR,EUR,1.0,ECB_REFERENCE
2024-12-24,EUR,PLN,4.2575,ECB_REFERENCE
2024-12-24,EUR,RON,4.8502,ECB_REFERENCE
2024-12-24,EUR,EUR,1.0,ECB_REFERENCE
2024-12-25,EUR,PLN,4.2794,ECB_REFERENCE
2024-12-25,EUR,RON,4.8066,ECB_REFERENCE
2024-12-25,EUR,EUR,1.0,ECB_REFERENCE
2024-12-26,EUR,PLN,4.2759,ECB_REFERENCE
2024-12-26,EUR,RON,4.8096,ECB_REFERENCE
2024-12-26,EUR,EUR,1.0,ECB_REFERENCE
2024-12-27,EUR,PLN,4.2803,ECB_REFERENCE
2024-12-27,EUR,RON,4.8033,ECB_REFERENCE
2024-12-27,EUR,EUR,1.0,ECB_REFERENCE
2024-12-28,EUR,PLN,4.254,ECB_REFERENCE
2024-12-28,EUR,RON,4.8089,ECB_REFERENCE
2024-12-28,EUR,EUR,1.0,ECB_REFERENCE
2024-12-29,EUR,PLN,4.2797,ECB_REFERENCE
2024-12-29,EUR,RON,4.783,ECB_REFERENCE
2024-12-29,EUR,EUR,1.0,ECB_REFERENCE
2024-12-30,EUR,PLN,4.2927,ECB_REFERENCE
2024-12-30,EUR,RON,4.7775,ECB_REFERENCE
2024-12-30,EUR,EUR,1.0,ECB_REFERENCE
2024-12-31,EUR,PLN,4.2917,ECB_REFERENCE
2024-12-31,EUR,RON,4.7599,ECB_REFERENCE
2024-12-31,EUR,EUR,1.0,ECB_REFERENCE
2025-01-01,EUR,PLN,4.2867,ECB_REFERENCE
